id;username;firstname;lastname;gender;email;city;categorydestinasi
1;Budi1;Budi;Santoso;Male;budi.santoso@gmail.com;Surabaya;Taman Hiburan
2;Ika2;Ika;Wahyuni;Female;ika.wahyuni@gmail.com;Malang;Cagar Alam
3;Ahmad3;Ahmad;Pratama;Male;ahmad.pratama@gmail.com;Surabaya;Pusat Perbelanjaan
4;Sari4;Sari;Indah;Female;sari.indah@gmail.com;Malang;Bahari 
5;Joko5;Joko;Susanto;Male;joko.susanto@gmail.com;Surabaya;Tempat Ibadah
6;Anita6;Anita;Putri;Female;anita.putri@gmail.com;Malang;Budaya 
7;Adi7;Adi;Kurniawan;Male;adi.kurniawan@gmail.com;Malang ;Perbelanjaan 
8;Yuli8;Yuli;Prasetyo;Female;yuli.prasetyo@gmail.com;Malang;Tempat Ibadah
9;Rudi9;Rudi;Cahyono;Male;rudi.cahyono@gmail.com;Surabaya;Taman Hiburan
10;Dewi10;Dewi;Lestari;Female;dewi.lestari@gmail.com;Malang;Cagar Alam
11;Eko11;Eko;Nugroho;Male;eko.nugroho@gmail.com;Surabaya;Budaya 
12;Maya12;Maya;Sari;Female;maya.sari@gmail.com;Malang;Pusat Perbelanjaan
13;Fajar13;Fajar;Saputra;Male;fajar.saputra@gmail.com;Surabaya;Taman Hiburan
14;Nisa14;Nisa;Fitriani;Female;nisa.fitriani@gmail.com;Malang;Cagar Alam
15;Bambang15;Bambang;Wijaya;Male;bambang.wijaya@gmail.com;Surabaya;Pusat Perbelanjaan
16;Desi16;Desi;Putri;Female;desi.putri@gmail.com;Malang;Budaya 
17;Joko17;Joko;Susilo;Male;joko.susilo@gmail.com;Surabaya;Tempat Ibadah
18;Fitri18;Fitri;Rahayu;Female;fitri.rahayu@gmail.com;Malang;Bahari 
19;Andi19;Andi;Wiranto;Male;andi.wiranto@gmail.com;Surabaya;Budaya 
20;Dian20;Dian;Pratiwi;Female;dian.pratiwi@gmail.com;Malang;Taman Hiburan
21;Dwi21;Dwi;Susanto;Female;dwi.susanto@gmail.com;Banggai  ;Cagar Alam
22;Rizki22;Rizki;Handayani;Female;rizki.handayani@gmail.com;Banggai Kepulauan ;Budaya 
